timestamp,ghi_w_m2,dni_w_m2,dhi_w_m2,temp_air_c,wind_speed_m_s,relative_humidity_pct,precipitation_mm
2019-01-01 00:00:00-08:00,0.0,0.0,0.0,-1.62,3.19,43.98,0.0
2019-01-01 01:00:00-08:00,0.0,0.0,0.0,-1.83,3.23,45.07,0.0
2019-01-01 02:00:00-08:00,0.0,0.0,0.0,-2.05,3.2,45.06,0.0
2019-01-01 03:00:00-08:00,0.0,0.0,0.0,-2.25,3.3,42.59,0.0
2019-01-01 04:00:00-08:00,0.0,0.0,0.0,-2.51,3.45,39.93,0.0
2019-01-01 05:00:00-08:00,0.0,0.0,0.0,-2.73,3.55,38.24,0.0
2019-01-01 06:00:00-08:00,0.0,0.0,0.0,-2.8,3.74,36.95,0.0
2019-01-01 07:00:00-08:00,74.43,495.99,19.95,-1.18,5.02,31.22,0.0
2019-01-01 08:00:00-08:00,254.32,881.99,34.15,0.81,6.67,25.09,0.0
2019-01-01 09:00:00-08:00,409.58,974.97,43.7,2.17,7.2,21.51,0.0
2019-01-01 10:00:00-08:00,521.88,1052.28,42.57,3.34,7.05,19.4,0.0
2019-01-01 11:00:00-08:00,576.78,1083.11,41.06,4.28,6.62,17.96,0.0
2019-01-01 12:00:00-08:00,552.7,1054.36,45.85,4.99,6.03,17.08,0.0
2019-01-01 13:00:00-08:00,477.02,1031.98,42.16,5.58,5.38,16.38,0.0
2019-01-01 14:00:00-08:00,346.5,942.0,36.48,5.79,4.82,16.29,0.0
2019-01-01 15:00:00-08:00,174.75,773.39,29.05,5.0,3.19,19.28,0.0
2019-01-01 16:00:00-08:00,17.62,160.15,8.16,1.06,1.4,33.24,0.0
2019-01-01 17:00:00-08:00,0.0,0.0,0.0,0.38,1.49,32.77,0.0
2019-01-01 18:00:00-08:00,0.0,0.0,0.0,-0.49,1.58,34.57,0.0
2019-01-01 19:00:00-08:00,0.0,0.0,0.0,-1.28,1.68,36.38,0.0
2019-01-01 20:00:00-08:00,0.0,0.0,0.0,-1.95,1.88,38.19,0.0
2019-01-01 21:00:00-08:00,0.0,0.0,0.0,-2.61,1.97,40.37,0.0
2019-01-01 22:00:00-08:00,0.0,0.0,0.0,-3.3,1.99,42.8,0.0
2019-01-01 23:00:00-08:00,0.0,0.0,0.0,-3.58,2.19,43.5,0.0
2019-01-02 00:00:00-08:00,0.0,0.0,0.0,-3.41,2.91,41.58,0.0
2019-01-02 01:00:00-08:00,0.0,0.0,0.0,-3.3,3.52,40.25,0.0
2019-01-02 02:00:00-08:00,0.0,0.0,0.0,-3.48,3.55,39.88,0.0
2019-01-02 03:00:00-08:00,0.0,0.0,0.0,-3.71,3.33,40.32,0.0
2019-01-02 04:00:00-08:00,0.0,0.0,0.0,-3.86,3.13,40.83,0.0
2019-01-02 05:00:00-08:00,0.0,0.0,0.0,-3.83,3.15,41.08,0.0
2019-01-02 06:00:00-08:00,0.0,0.0,0.0,-3.76,3.17,41.2,0.0
2019-01-02 07:00:00-08:00,75.45,494.6,18.41,-2.03,4.53,35.65,0.0
2019-01-02 08:00:00-08:00,255.35,860.29,32.02,-0.01,6.16,29.43,0.0
2019-01-02 09:00:00-08:00,408.38,980.27,41.92,1.65,6.67,23.7,0.0
2019-01-02 10:00:00-08:00,513.97,1030.64,45.28,3.08,6.34,19.61,0.0
2019-01-02 11:00:00-08:00,565.12,1056.35,41.24,4.25,5.66,17.14,0.0
2019-01-02 12:00:00-08:00,547.1,1027.28,50.72,5.23,4.99,15.65,0.0
