measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-02-06 00:00:00,0.0,-200.0,284.0,0.0,-200.0,27.0,0.0,27.0,2.211112688,0.0,0.0,62.444,351.607,0.122936,34
2019-02-06 00:15:00,0.0,-300.0,284.0,0.0,-200.0,25.0,0.0,27.0,1.983334892000002,0.0,0.0,62.119,351.63,0.0362102399999999,34
2019-02-06 00:30:00,0.0,-300.0,284.0,0.0,-200.0,28.0,0.0,27.0,,,0.0,,,,34
2019-02-06 00:30:01,,,,,,,,,1.905557108000004,0.0,,60.438,351.63,0.03084576,34
2019-02-06 00:45:00,0.0,-200.0,283.0,0.0,-200.0,29.0,0.0,27.0,2.1611126840000026,0.0,0.0,59.006,351.607,0.0473862399999999,34
2019-02-06 01:00:00,0.0,-300.0,284.0,0.0,-200.0,24.0,0.0,26.0,2.550001604000005,0.0,0.0,56.919,351.607,0.0558799999999999,34
2019-02-06 01:15:00,0.0,-200.0,284.0,0.0,-200.0,15.0,0.0,26.0,2.9055571879999995,0.0,0.0,54.988,351.607,0.94459552,34
2019-02-06 01:30:00,0.0,-300.0,284.0,0.0,-200.0,12.0,0.0,26.0,,,0.0,,,,34
2019-02-06 01:30:01,,,,,,,,,2.9666683040000055,0.0,,53.806,351.607,0.8551875199999999,34
2019-02-06 01:45:00,0.0,-200.0,283.0,0.0,-200.0,10.0,0.0,26.0,,,0.0,,,,34
2019-02-06 01:45:01,,,,,,,,,3.0888905360000045,0.0,,48.975,351.607,2.23251776,34
2019-02-06 02:00:00,0.0,-300.0,283.0,0.0,-200.0,10.0,0.0,26.0,,,0.0,,,,34
2019-02-06 02:00:01,,,,,,,,,3.0000016400000007,0.0,,49.656000000000006,351.607,2.39434624,34
2019-02-06 02:15:00,0.0,-200.0,282.0,0.0,-200.0,11.0,0.0,25.0,2.9000016320000026,0.0,0.0,48.037,351.607,2.257552,34
2019-02-06 02:30:00,0.0,-300.0,282.0,0.0,-200.0,6.0,0.0,25.0,,,0.0,,,,34
2019-02-06 02:30:01,,,,,,,,,2.644446056,0.0,,46.231,351.607,1.7684902400000002,34
2019-02-06 02:45:00,0.0,-300.0,282.0,0.0,-200.0,5.0,0.0,25.0,2.1222237920000038,,0.0,44.169,351.63,1.3022275200000002,34
2019-02-06 03:00:00,0.0,-200.0,282.0,0.0,-200.0,4.0,0.0,25.0,1.500001520000005,0.0,0.0,43.525,351.63,0.5252719999999999,34
2019-02-06 03:15:00,0.0,-200.0,283.0,0.0,-200.0,4.0,0.0,25.0,1.0500014840000027,0.0,0.0,42.531000000000006,351.63,0.84669376,34
2019-02-06 03:30:00,0.0,-200.0,282.0,0.0,-200.0,3.0,0.0,24.0,,,0.0,,,,34
2019-02-06 03:30:01,,,,,,,,,0.9666681440000032,0.0,,40.875,351.653,0.46670976,34
2019-02-06 03:45:00,0.0,-200.0,281.0,0.0,-200.0,3.0,0.0,24.0,,,0.0,,,,34
2019-02-06 03:45:01,,,,,,,,,0.4555569920000017,0.0,,39.838,351.63,1.05635552,34
2019-02-06 04:00:00,0.0,-300.0,281.0,0.0,-200.0,4.0,0.0,24.0,1.0111125920000037,0.0,0.0,38.881,351.63,1.05635552,34
2019-02-06 04:15:00,0.0,-300.0,281.0,0.0,-200.0,4.0,0.0,24.0,,,0.0,,,,34
2019-02-06 04:15:01,,,,,,,,,-0.1944430599999975,0.0,,41.525,351.63,0.178816,34
2019-02-06 04:30:00,0.0,-200.0,281.0,0.0,-200.0,4.0,0.0,24.0,0.8111125760000027,0.0,0.0,38.25,351.653,2.56198624,34
2019-02-06 04:45:00,0.0,-200.0,281.0,0.0,-200.0,4.0,0.0,24.0,0.550001444000003,0.0,0.0,42.094,351.675,1.43633952,34
2019-02-06 05:00:00,0.0,-300.0,282.0,0.0,-200.0,4.0,0.0,23.0,0.1722236360000017,,0.0,42.688,351.653,0.91374976,34
2019-02-06 05:15:00,0.0,-200.0,281.0,0.0,-200.0,3.0,0.0,23.0,0.3500014280000023,0.0,0.0,40.263000000000005,351.63,1.46673824,34
2019-02-06 05:30:00,0.0,-200.0,281.0,0.0,-200.0,4.0,0.0,23.0,,,0.0,,,,34
2019-02-06 05:30:01,,,,,,,,,0.572223668000003,0.0,,38.331,351.653,1.67908224,34
2019-02-06 05:45:00,0.0,-200.0,281.0,0.0,-200.0,5.0,0.0,23.0,,,0.0,,,,34
2019-02-06 05:45:01,,,,,,,,,0.9944459240000008,0.0,,36.544,351.653,2.81098752,34
2019-02-06 06:00:00,0.0,-200.0,282.0,0.0,-200.0,25.0,0.0,23.0,,,0.0,,,,34
2019-02-06 06:00:01,,,,,,,,,0.8944459160000022,0.0,,37.094,351.653,2.90307776,34
2019-02-06 06:15:00,0.0,-200.0,281.0,0.0,-200.0,260.0,0.0,23.0,1.05555704,0.0,0.0,36.769,351.653,3.59017824,34
2019-02-06 06:30:00,3.0,-600.0,282.0,0.0,200.0,295.0,0.0,24.0,1.1055570440000049,0.5859999999999999,0.159,37.363,351.653,3.207512,34
2019-02-06 06:45:00,0.0,-300.0,283.0,0.0,-200.0,434.0,0.0,26.0,1.2444459440000024,4.883,0.0,34.981,351.653,3.61253024,34
2019-02-06 07:00:00,4.0,2400.0,282.0,9.0,3600.0,368.0,0.0,30.0,,,0.5799999999999998,,,,34
2019-02-06 07:00:01,,,,,,,,,1.5944459720000026,10.742,,34.863,351.653,3.70462048,34
2019-02-06 07:15:00,8.0,6600.0,282.0,19.0,8100.0,404.0,0.0,36.0,1.5444459680000016,15.039,0.874,35.456,351.653,3.095752,34
2019-02-06 07:30:00,16.0,14400.0,282.0,38.0,16000.0,423.0,0.0,49.0,,,0.972,,,,34
2019-02-06 07:30:01,,,,,,,,,1.9666682240000029,145.313,,34.988,351.63,2.40015776,34
2019-02-06 07:45:00,22.0,19800.0,283.0,65.0,21400.0,329.0,0.0,53.0,2.8500016280000047,273.633,0.986,35.85,351.653,2.000504,34
2019-02-06 08:00:00,32.0,27500.0,283.0,88.0,29400.0,332.0,0.0,54.0,,,0.995,,,,34
2019-02-06 08:00:01,,,,,,,,,4.283335076000004,345.02,,36.25,351.63,0.815848,34
2019-02-06 08:15:00,48.0,41400.0,283.0,105.0,44500.0,420.0,0.0,54.0,6.144446336000005,417.48,0.996,35.219,351.63,1.79084224,34
2019-02-06 08:30:00,57.0,49200.0,284.0,125.0,52700.0,420.0,0.0,54.0,,,0.999,,,,34
2019-02-06 08:30:01,,,,,,,,,7.072224188,469.824,,34.288000000000004,351.607,3.23567552,34
2019-02-06 08:45:00,66.0,57200.0,285.0,146.0,61000.0,414.0,0.0,54.0,,,0.999,,,,34
2019-02-06 08:45:01,,,,,,,,,7.911113144000005,534.18,,33.05,351.607,3.386328,34
2019-02-06 09:00:00,74.0,63500.0,284.0,162.0,68100.0,418.0,0.0,55.0,8.655557648000002,596.289,0.999,31.706,351.585,3.68808,34
2019-02-06 09:15:00,81.0,69100.0,282.0,177.0,73800.0,415.0,0.0,54.0,9.827779964,652.0509999999999,1.0,31.313,351.585,2.24369376,34
2019-02-06 09:30:00,88.0,75300.0,283.0,199.0,80300.0,402.0,0.0,56.0,11.705557892000002,702.539,1.0,29.756,351.585,2.28526848,34
2019-02-06 09:45:00,95.0,81400.0,284.0,218.0,86900.0,399.0,0.0,54.0,12.916669100000004,759.375,0.999,27.394,351.56300000000005,1.81632352,34
2019-02-06 10:00:00,104.0,89100.0,284.0,240.0,95100.0,395.0,0.0,55.0,13.36111358,824.2189999999998,0.999,25.031,351.56300000000005,2.794,34
2019-02-06 10:15:00,111.0,94900.0,284.0,257.0,101200.0,393.0,0.0,55.0,14.188891424,858.8869999999998,0.999,22.119,351.54,3.21019424,34
2019-02-06 10:30:00,37.0,32100.0,282.0,86.0,34200.0,397.0,0.0,55.0,10.150002212000004,424.121,0.995,22.494,351.54,4.783328,34
2019-02-06 10:45:00,113.0,96600.0,284.0,263.0,103100.0,391.0,0.0,53.0,12.02778014,890.625,0.999,23.031,351.54,4.04839424,34
2019-02-06 11:00:00,114.0,97300.0,284.0,267.0,103800.0,389.0,0.0,53.0,,,0.999,,,,34
2019-02-06 11:00:01,,,,,,,,,14.088891416000004,921.777,,23.063,351.51800000000003,3.74127776,34
2019-02-06 11:15:00,115.0,98900.0,284.0,272.0,105400.0,387.0,0.0,54.0,15.450002636000004,943.1640000000002,1.0,22.794,351.51800000000003,3.1713017599999995,34
2019-02-06 11:30:00,115.0,98800.0,284.0,272.0,105500.0,387.0,0.0,56.0,15.600002648000004,946.875,0.999,22.969,351.495,3.74127776,34
2019-02-06 11:45:00,117.0,99900.0,284.0,276.0,106600.0,386.0,0.0,54.0,,,0.999,,,,34
2019-02-06 11:45:01,,,,,,,,,14.172224756000002,950.195,,22.294,351.495,5.565648,34
2019-02-06 12:00:00,116.0,99700.0,285.0,274.0,106300.0,387.0,0.0,54.0,14.138891420000004,953.711,0.999,22.194000000000003,351.495,4.54013824,34
2019-02-06 12:15:00,114.0,97700.0,284.0,276.0,103800.0,376.0,0.0,56.0,,,0.999,,,,34
2019-02-06 12:15:01,,,,,,,,,15.700002656,950.195,,22.406,351.495,2.69073376,34
2019-02-06 12:30:00,115.0,98400.0,285.0,272.0,104900.0,384.0,0.0,56.0,16.422224936000003,946.484,1.0,21.969,351.472,3.229864,34
2019-02-06 12:45:00,112.0,96200.0,284.0,267.0,102600.0,384.0,0.0,53.0,16.572224948000002,949.316,0.999,22.169,351.45,2.34696,34
2019-02-06 13:00:00,19.0,17000.0,283.0,47.0,18600.0,395.0,0.0,54.0,,,0.976,,,,34
2019-02-06 13:00:01,,,,,,,,,17.944447280000002,728.613,,20.525,351.42800000000005,1.17348,34
2019-02-06 13:15:00,119.0,101900.0,284.0,268.0,108800.0,404.0,0.0,55.0,,,1.0,,,,34
2019-02-06 13:15:01,,,,,,,,,12.300002384000004,268.848,,20.131,351.45,1.77966624,34
2019-02-06 13:30:00,114.0,97800.0,285.0,272.0,104300.0,383.0,0.0,54.0,13.866669176000002,750.8789999999998,0.999,19.244,351.45,0.83283552,34
2019-02-06 13:45:00,104.0,88900.0,284.0,242.0,95000.0,391.0,0.0,56.0,17.627780588000004,859.2769999999998,0.999,16.675,351.42800000000005,1.99201024,34
2019-02-06 14:00:00,27.0,24000.0,283.0,62.0,26000.0,416.0,0.0,54.0,,,0.994,,,,34
2019-02-06 14:00:01,,,,,,,,,14.077780304000004,325.97700000000003,,16.406,351.42800000000005,2.45335552,34
2019-02-06 14:15:00,102.0,87600.0,285.0,238.0,93200.0,391.0,0.0,56.0,,,0.999,,,,34
2019-02-06 14:15:01,,,,,,,,,12.183335708,526.27,,18.719,351.45,0.91911424,34
2019-02-06 14:30:00,17.0,15300.0,284.0,43.0,16800.0,390.0,0.0,54.0,,,0.982,,,,34
2019-02-06 14:30:01,,,,,,,,,16.316669372000003,767.9689999999998,,17.480999999999998,351.405,1.42516352,34
2019-02-06 14:45:00,83.0,71800.0,285.0,189.0,76200.0,402.0,0.0,55.0,13.233335792000002,323.73,1.0,16.863,351.405,2.045208,34
2019-02-06 15:00:00,68.0,58900.0,285.0,156.0,62700.0,401.0,0.0,54.0,,,0.997,,,,34
2019-02-06 15:00:01,,,,,,,,,12.850002428000003,624.219,,15.431,351.405,3.1713017599999995,34
2019-02-06 15:15:00,60.0,51400.0,283.0,133.0,55000.0,411.0,0.0,53.0,,,0.999,,,,34
2019-02-06 15:15:01,,,,,,,,,12.611113520000004,551.758,,15.438,351.405,3.91428224,34
2019-02-06 15:30:00,51.0,44000.0,284.0,114.0,46900.0,410.0,0.0,53.0,11.805557900000004,488.672,0.996,16.756,351.405,3.26920352,34
2019-02-06 15:45:00,35.0,30300.0,283.0,79.0,32500.0,409.0,0.0,53.0,,,0.995,,,,34
2019-02-06 15:45:01,,,,,,,,,10.561113356000003,402.441,,17.35,351.405,4.056888,34
2019-02-06 16:00:00,22.0,19700.0,283.0,52.0,21300.0,404.0,0.0,55.0,9.7222244,333.98400000000004,0.993,19.275,351.42800000000005,2.52309376,34
2019-02-06 16:15:00,8.0,6200.0,282.0,19.0,7200.0,382.0,0.0,53.0,,,0.884,,,,34
2019-02-06 16:15:01,,,,,,,,,8.516668748,61.328,,19.875,351.42800000000005,2.89190176,34
2019-02-06 16:30:00,10.0,8300.0,282.0,24.0,9700.0,396.0,0.0,53.0,,,0.911,,,,34
2019-02-06 16:30:01,,,,,,,,,7.611113120000007,125.391,,21.425,351.45,2.33846624,34
2019-02-06 16:45:00,4.0,1400.0,281.0,6.0,2500.0,396.0,0.0,53.0,7.472224220000003,109.277,0.4219999999999999,21.35,351.472,1.84672224,34
2019-02-06 17:00:00,3.0,400.0,282.0,4.0,1400.0,376.0,0.0,52.0,,,0.119,,,,34
2019-02-06 17:00:01,,,,,,,,,6.588890816000003,15.527,,21.744,351.472,1.48909024,34
2019-02-06 17:15:00,3.0,-500.0,281.0,1.0,400.0,295.0,0.0,52.0,5.855557424000001,7.715,0.119,22.438,351.472,1.139952,34
2019-02-06 17:30:00,3.0,-900.0,281.0,0.0,100.0,293.0,0.0,51.0,5.388890720000003,1.855,0.239,23.813,351.495,0.5587999999999999,34
2019-02-06 17:45:00,0.0,-200.0,281.0,0.0,-200.0,67.0,0.0,50.0,4.977779576000003,0.098,0.0,24.313,351.495,0.7626502399999999,34
2019-02-06 18:00:00,0.0,-200.0,281.0,0.0,-200.0,10.0,0.0,46.0,4.572223988000001,0.0,0.0,24.9,351.51800000000003,0.46670976,34
2019-02-06 18:15:00,0.0,-200.0,281.0,0.0,-200.0,7.0,0.0,44.0,4.461112868000004,0.0,0.0,25.7,351.51800000000003,1.139952,34
2019-02-06 18:30:00,0.0,-200.0,281.0,0.0,-200.0,7.0,0.0,43.0,,,0.0,,,,34
2019-02-06 18:30:01,,,,,,,,,4.927779572000001,0.0,,26.05,351.51800000000003,1.352296,34
2019-02-06 18:45:00,0.0,-200.0,281.0,0.0,-200.0,6.0,0.0,41.0,4.761112892000003,0.0,0.0,27.031,351.51800000000003,1.2655702400000002,34
2019-02-06 19:00:00,0.0,-200.0,282.0,0.0,0.0,6.0,0.0,40.0,4.561112876000003,0.0,0.0,28.638,351.51800000000003,0.8493759999999999,34
2019-02-06 19:15:00,0.0,-200.0,281.0,0.0,-200.0,6.0,0.0,39.0,4.522223984000004,0.0,0.0,29.844,351.54,0.82121248,34
2019-02-06 19:30:00,0.0,-200.0,281.0,0.0,0.0,6.0,0.0,38.0,3.961112828000005,0.0,0.0,31.375,351.54,0.3522675199999999,34
2019-02-06 19:45:00,0.0,-200.0,281.0,0.0,0.0,7.0,0.0,38.0,3.2888905520000016,0.0,0.0,32.044000000000004,351.56300000000005,0.23201376,34
2019-02-06 20:00:00,0.0,-200.0,282.0,0.0,0.0,8.0,0.0,37.0,2.927779412000003,0.0,0.0,32.031,351.54,0.089408,34
2019-02-06 20:15:00,0.0,-200.0,282.0,0.0,0.0,8.0,0.0,36.0,,,0.0,,,,34
2019-02-06 20:15:01,,,,,,,,,2.4000015920000024,0.0,,31.738000000000003,351.56300000000005,0.0697382399999999,34
2019-02-06 20:30:00,0.0,-200.0,281.0,0.0,-200.0,7.0,0.0,36.0,,,0.0,,,,34
2019-02-06 20:30:01,,,,,,,,,2.66666828,0.0,,30.319000000000003,351.56300000000005,0.32991552,34
2019-02-06 20:45:00,0.0,-200.0,282.0,0.0,0.0,7.0,0.0,35.0,2.800001624000004,0.0,0.0,29.919,351.56300000000005,0.1367942399999999,34
2019-02-06 21:00:00,0.0,-200.0,282.0,0.0,-200.0,7.0,0.0,35.0,2.3888904800000006,0.0,0.0,30.594,351.56300000000005,0.122936,34
2019-02-06 21:15:00,0.0,-300.0,282.0,0.0,0.0,6.0,0.0,34.0,,,0.0,,,,34
2019-02-06 21:15:01,,,,,,,,,2.316668252000003,0.0,,30.369,351.585,0.11444224,34
2019-02-06 21:30:00,0.0,-300.0,283.0,0.0,0.0,5.0,0.0,34.0,1.97222378,,0.0,30.425,351.56300000000005,0.0473862399999999,34
2019-02-06 21:45:00,0.0,-200.0,283.0,0.0,0.0,5.0,0.0,33.0,1.427779292000004,0.0,0.0,31.381,351.585,0.0473862399999999,34
2019-02-06 22:00:00,0.0,-300.0,283.0,0.0,-200.0,4.0,0.0,33.0,1.722223760000002,0.0,0.0,31.05,351.585,0.2682239999999999,34
2019-02-06 22:15:00,0.0,-300.0,283.0,0.0,-200.0,4.0,0.0,32.0,2.644446056,0.0,0.0,30.781,351.585,0.637032,34
2019-02-06 22:30:00,0.0,-200.0,284.0,0.0,-200.0,4.0,0.0,32.0,2.816668292000003,0.0,0.0,31.463,351.585,0.5310835199999999,34
2019-02-06 22:45:00,0.0,-300.0,284.0,0.0,0.0,3.0,0.0,31.0,2.8722238520000047,0.0,0.0,31.975,351.585,0.469392,34
2019-02-06 23:00:00,0.0,-200.0,284.0,0.0,0.0,3.0,0.0,31.0,,,0.0,,,,34
2019-02-06 23:00:01,,,,,,,,,3.0000016400000007,0.0,,31.781,351.585,0.96694752,34
2019-02-06 23:15:00,0.0,-300.0,283.0,0.0,-200.0,4.0,0.0,31.0,,,0.0,,,,34
2019-02-06 23:15:01,,,,,,,,,2.816668292000003,0.0,,33.137,351.585,0.659384,34
2019-02-06 23:30:00,0.0,-300.0,283.0,0.0,-200.0,4.0,0.0,30.0,2.3500015880000014,0.0,0.0,34.1,351.585,0.24855424,34
2019-02-06 23:45:00,0.0,-300.0,283.0,0.0,-200.0,3.0,0.0,30.0,1.800001544000004,0.0,0.0,34.706,351.585,0.3603142399999999,34
