timestamp,ghi_w_m2,dni_w_m2,dhi_w_m2,temp_air_c,wind_speed_m_s,relative_humidity_pct,precipitation_mm
2025-01-01T00:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T01:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T02:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T03:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T04:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T05:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T06:00:00+03:00,80,60,20,24,1.5,55,0
2025-01-01T07:00:00+03:00,250,210,40,26,2.0,48,0
2025-01-01T08:00:00+03:00,480,410,70,28,2.2,45,0
2025-01-01T09:00:00+03:00,680,580,90,30,2.4,42,0
2025-01-01T10:00:00+03:00,820,700,110,32,2.6,40,0
2025-01-01T11:00:00+03:00,900,760,120,34,2.7,38,0
2025-01-01T12:00:00+03:00,920,780,125,35,2.8,37,0
2025-01-01T13:00:00+03:00,880,740,120,35,2.8,37,0
2025-01-01T14:00:00+03:00,760,640,105,34,2.7,38,0
2025-01-01T15:00:00+03:00,560,470,80,32,2.5,41,0
2025-01-01T16:00:00+03:00,330,270,55,29,2.2,46,0
2025-01-01T17:00:00+03:00,120,90,25,26,1.7,55,0
2025-01-01T18:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T19:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T20:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T21:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T22:00:00+03:00,0,0,0,20,0.5,82,0
2025-01-01T23:00:00+03:00,0,0,0,20,0.5,82,0
